,BRAND,CATEGORY,DOLS
236,compcoin,FINANCIAL_SERVICES,6858.0
237,crypterium,FINANCIAL_SERVICES,
238,currencyliquidator,FINANCIAL_SERVICES,
239,ecocoins,FINANCIAL_SERVICES,
240,eroscoin,FINANCIAL_SERVICES,
241,evr,FINANCIAL_SERVICES,
242,finney,FINANCIAL_SERVICES,9172.0
243,fortrade,FINANCIAL_SERVICES,32391.0
244,goldmint,FINANCIAL_SERVICES,128.0
245,herocoin,FINANCIAL_SERVICES,932.0
246,kencoin,FINANCIAL_SERVICES,2659.0
247,kexcoin,FINANCIAL_SERVICES,264.0
248,kin,FINANCIAL_SERVICES,531.0
249,kitcoin,FINANCIAL_SERVICES,366600.0
250,maincoin,FINANCIAL_SERVICES,
251,megamine,FINANCIAL_SERVICES,837.0
252,meridian,FINANCIAL_SERVICES,
253,mtfx,FINANCIAL_SERVICES,1356.0
254,nametoken,FINANCIAL_SERVICES,31923.0
255,ofx,FINANCIAL_SERVICES,702135.0
256,paycent,FINANCIAL_SERVICES,923.0
257,paysafe,FINANCIAL_SERVICES,11139.0
258,pendo,FINANCIAL_SERVICES,22489.0
259,proequities,FINANCIAL_SERVICES,15038.0
260,proof,FINANCIAL_SERVICES,588.0
261,qvolta,FINANCIAL_SERVICES,
262,recoin,FINANCIAL_SERVICES,
263,rollmycoin,FINANCIAL_SERVICES,
264,skincoin,FINANCIAL_SERVICES,
265,smartmoney,FINANCIAL_SERVICES,
266,sprig,FINANCIAL_SERVICES,10238.0
267,tokendesk,FINANCIAL_SERVICES,348.0
268,tokenstars,FINANCIAL_SERVICES,198.0
269,usforex,FINANCIAL_SERVICES,9531.0
270,adrenaline,BBQ,15409.0
271,denmark,BBQ,9995.0
272,kalamazoo,BBQ,3545.0
273,kingsford,BBQ,1292764.0
274,texas,BBQ,
275,weber,BBQ,25831.0
276,agebeautiful,HAIR_PRODUCTS,2747039.0
277,alfaparf,HAIR_PRODUCTS,74509.0
278,aveda,HAIR_PRODUCTS,18002.0
279,avena,HAIR_PRODUCTS,7501.0
280,bigen,HAIR_PRODUCTS,2242163.0
281,chromasilk,HAIR_PRODUCTS,74478.0
282,clairol,HAIR_PRODUCTS,63125.0
283,colordesign,HAIR_PRODUCTS,48006.0
284,colorphlex,HAIR_PRODUCTS,93689.0
285,colorproof,HAIR_PRODUCTS,132694.0
286,colorsmash,HAIR_PRODUCTS,17681.0
287,colortrak,HAIR_PRODUCTS,61603.0
288,deciem,HAIR_PRODUCTS,193.0
289,dphue,HAIR_PRODUCTS,45966.0
290,esalon,HAIR_PRODUCTS,274116.0
291,hoyu,HAIR_PRODUCTS,18002.0
292,inoa,HAIR_PRODUCTS,
293,jonathan,HAIR_PRODUCTS,2958.0
294,keune,HAIR_PRODUCTS,68747.0
295,koleston,HAIR_PRODUCTS,5123.0
296,lakme,HAIR_PRODUCTS,36004.0
297,lanza,HAIR_PRODUCTS,27003.0
298,leland,HAIR_PRODUCTS,10236.0
299,matrix,HAIR_PRODUCTS,35004.0
300,naturtint,HAIR_PRODUCTS,10941315.0
301,oway,HAIR_PRODUCTS,123580.0
302,paintglow,HAIR_PRODUCTS,
303,pureology,HAIR_PRODUCTS,184829.0
304,redken,HAIR_PRODUCTS,73732.0
305,reparex,HAIR_PRODUCTS,
306,satin,HAIR_PRODUCTS,5085392.0
307,schwarzkopf,HAIR_PRODUCTS,21115.0
308,scruples,HAIR_PRODUCTS,59186.0
309,splat,HAIR_PRODUCTS,2336995.0
310,tca,HAIR_PRODUCTS,29469.0
311,tigi,HAIR_PRODUCTS,28077.0
312,tressa,HAIR_PRODUCTS,56578.0
313,wella,HAIR_PRODUCTS,70082.0
314,abellan,JEWELRY,176715.0
315,adora,JEWELRY,
316,alamea,JEWELRY,14479.0
317,albertos,JEWELRY,628620.0
318,alishan,JEWELRY,8545.0
319,alor,JEWELRY,59644.0
320,always,JEWELRY,73495.0
321,amden,JEWELRY,30742.0
322,amgad,JEWELRY,322650.0
323,angelica,JEWELRY,32623.0
324,anjolee,JEWELRY,743.0
325,annoushka,JEWELRY,283.0
326,antonini,JEWELRY,40980.0
327,armenta,JEWELRY,18447.0
328,arpas,JEWELRY,26419.0
329,artcarved,JEWELRY,64023.0
330,artemest,JEWELRY,24949.0
331,artistry,JEWELRY,82368.0
332,asher,JEWELRY,28394.0
333,ashk,JEWELRY,
334,asprey,JEWELRY,155250.0
335,assael,JEWELRY,427235.0
336,astoria,JEWELRY,
337,attos,JEWELRY,450.0
338,australian,JEWELRY,2539.0
339,baccarat,JEWELRY,15876.0
340,baggins,JEWELRY,5641.0
341,balenciaga,JEWELRY,813648.0
342,bamboo,JEWELRY,16383.0
343,barsky,JEWELRY,33997.0
344,bayco,JEWELRY,54050.0
345,becoming,JEWELRY,721.0
346,belfiore,JEWELRY,9309.0
347,bellarri,JEWELRY,11940.0
348,benchmark,JEWELRY,45915.0
349,bijan,JEWELRY,242416.0
350,bioring,JEWELRY,2917.0
351,blvckout,JEWELRY,915.0
352,boma,JEWELRY,14951.0
353,brayce,JEWELRY,267.0
354,breguet,JEWELRY,162160.0
355,brighton,JEWELRY,5830.0
356,brosway,JEWELRY,5000.0
357,buccellati,JEWELRY,18780.0
358,bulgari,JEWELRY,1870278.0
359,cadar,JEWELRY,890720.0
360,canadamark,JEWELRY,11902.0
361,carelle,JEWELRY,199.0
362,carlex,JEWELRY,413.0
363,carolee,JEWELRY,186.0
364,cartier,JEWELRY,12083449.0
365,catbird,JEWELRY,54396.0
366,celtic,JEWELRY,
367,chamilia,JEWELRY,791303.0
368,chanel,JEWELRY,571852.0
369,charriol,JEWELRY,
370,chopard,JEWELRY,7102659.0
371,christofle,JEWELRY,6821.0
372,chrysalis,JEWELRY,9401.0
373,circa,JEWELRY,4062514.0
374,coach,JEWELRY,
375,colibri,JEWELRY,
376,continental,JEWELRY,17863.0
377,coomi,JEWELRY,694060.0
378,corso,JEWELRY,
379,cosa,JEWELRY,
380,crivelli,JEWELRY,900920.0
381,crownring,JEWELRY,48512.0
382,cruciani,JEWELRY,
383,dabakarov,JEWELRY,131340.0
384,dacarli,JEWELRY,
385,damiani,JEWELRY,14611.0
386,danhov,JEWELRY,5853.0
387,dannijo,JEWELRY,220.0
388,dazzlers,JEWELRY,9401.0
389,devocean,JEWELRY,1575.0
390,diamond,JEWELRY,14861.0
391,dior,JEWELRY,604312.0
392,djula,JEWELRY,977516.0
393,dnea,JEWELRY,3240.0
394,dorfman,JEWELRY,322386.0
395,dtc,JEWELRY,21538.0
396,dualitas,JEWELRY,
397,dutchcollar,JEWELRY,128844.0
398,dway,JEWELRY,1356.0
399,earstuds,JEWELRY,95895.0
400,effy,JEWELRY,206114.0
401,eliko,JEWELRY,5641.0
402,elle,JEWELRY,1022563.0
403,endless,JEWELRY,408323.0
404,enso,JEWELRY,117496.0
405,esquire,JEWELRY,711740.0
406,ettika,JEWELRY,
407,everband,JEWELRY,964.0
408,evocateur,JEWELRY,15232.0
409,faberge,JEWELRY,1586858.0
410,feri,JEWELRY,
411,forevermark,JEWELRY,16438443.0
412,forziani,JEWELRY,1307.0
413,fossil,JEWELRY,238289.0
414,gamiss,JEWELRY,489.0
415,gemfields,JEWELRY,1082383.0
416,gemiana,JEWELRY,3160.0
417,gemio,JEWELRY,1224.0
418,gemvision,JEWELRY,1597.0
419,genesis,JEWELRY,172076.0
420,gia,JEWELRY,141310.0
421,gielo,JEWELRY,220.0
422,givenchy,JEWELRY,774910.0
423,global,JEWELRY,22511.0
424,gm,JEWELRY,3728.0
425,goldman,JEWELRY,26419.0
426,goldstein,JEWELRY,130572.0
427,gothrider,JEWELRY,
428,graff,JEWELRY,2881781.0
429,gucci,JEWELRY,929157.0
430,gurhan,JEWELRY,283658.0
431,happylaulea,JEWELRY,2564.0
432,henne,JEWELRY,10614.0
433,herco,JEWELRY,69101.0
434,hermes,JEWELRY,4150101.0
435,hidalgo,JEWELRY,834.0
436,hinsongayle,JEWELRY,
437,hiraco,JEWELRY,
438,honora,JEWELRY,208401.0
439,hublot,JEWELRY,135016.0
440,imperial,JEWELRY,21341.0
441,induo,JEWELRY,19.0
442,inox,JEWELRY,11001.0
443,ippolita,JEWELRY,5496.0
444,ironman,JEWELRY,
445,isharya,JEWELRY,
446,jennybird,JEWELRY,
447,jeulia,JEWELRY,26688.0
448,jewelex,JEWELRY,45221.0
449,jewelmer,JEWELRY,250038.0
450,joden,JEWELRY,11015.0
451,jostens,JEWELRY,187033.0
452,kameleon,JEWELRY,16923.0
453,kgk,JEWELRY,37604.0
454,khailo,JEWELRY,272.0
455,khom,JEWELRY,
456,kiran,JEWELRY,1341.0
457,kkgi,JEWELRY,4231.0
458,knot,JEWELRY,37604.0
459,kobelli,JEWELRY,
460,kozi,JEWELRY,4561.0
461,krikawa,JEWELRY,
462,kristall,JEWELRY,
463,kwiat,JEWELRY,1277451.0
464,lagos,JEWELRY,446368.0
465,lalique,JEWELRY,3500.0
466,lana,JEWELRY,12000.0
467,lashbrook,JEWELRY,84333.0
468,lavaggi,JEWELRY,3436.0
469,leslie,JEWELRY,21896.0
470,liberty,JEWELRY,2539.0
471,lift,JEWELRY,
472,lili,JEWELRY,32781.0
473,livingstone,JEWELRY,23880.0
474,lokai,JEWELRY,32099.0
475,lotus,JEWELRY,45174.0
476,lunkae,JEWELRY,
477,luvente,JEWELRY,107268.0
478,madani,JEWELRY,1344.0
479,majorica,JEWELRY,300.0
480,mantraband,JEWELRY,12018.0
481,marika,JEWELRY,45221.0
482,marli,JEWELRY,121620.0
483,mastoloni,JEWELRY,298377.0
484,mattioli,JEWELRY,590730.0
485,messika,JEWELRY,1316344.0
486,metalicious,JEWELRY,25921.0
487,miansai,JEWELRY,27581.0
488,michele,JEWELRY,115.0
489,michou,JEWELRY,2539.0
490,midas,JEWELRY,177243.0
491,mikimoto,JEWELRY,5152165.0
492,milano,JEWELRY,523.0
493,mioro,JEWELRY,40143.0
494,misahara,JEWELRY,322090.0
495,mister,JEWELRY,6088.0
496,mokumeganeya,JEWELRY,314.0
