,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
499,murat,18802.0,JEWELRY,0,1,0,0,0,2,2,0,1,0,5,0,0,1,0,1
500,muzo,,JEWELRY,0,0,0,0,0,1,2,0,0,1,4,1,0,1,0,2
501,naledi,693.0,JEWELRY,0,0,0,0,0,2,3,0,1,1,6,0,0,1,2,0
502,nambe,570.0,JEWELRY,0,0,0,0,0,2,2,0,1,1,5,0,0,1,1,0
503,nelson,116386.0,JEWELRY,0,0,1,0,0,3,2,0,0,0,6,1,0,1,1,1
504,nest,471465.0,JEWELRY,0,1,0,0,0,1,1,0,1,0,4,1,0,1,1,0
505,nialaya,,JEWELRY,1,0,0,0,0,3,4,0,0,1,7,0,0,1,1,0
506,ninacci,18802.0,JEWELRY,0,0,0,0,0,2,3,0,0,1,7,0,0,1,2,0
507,nomination,130.0,JEWELRY,0,0,1,0,0,4,5,0,1,0,10,0,0,1,2,2
508,nuvoboho,18.0,JEWELRY,0,0,0,0,0,1,4,0,1,1,8,1,0,1,0,4
509,omega,97687.0,JEWELRY,1,0,0,0,0,1,3,0,1,1,5,0,1,0,1,1
510,onecklace,,JEWELRY,0,0,0,0,0,2,4,0,1,1,9,0,1,0,2,1
511,oressence,18802.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,9,2,1,0,3,1
512,ovadia,2539.0,JEWELRY,1,0,0,0,0,0,4,0,1,1,6,1,1,0,1,1
513,pampillonia,133.0,JEWELRY,1,0,0,0,0,4,5,1,2,1,11,0,0,0,2,1
514,pandora,61035054.0,JEWELRY,1,0,0,0,0,2,3,1,2,1,7,0,0,0,0,1
515,paragon,2539.0,JEWELRY,0,0,1,0,0,2,3,1,2,0,7,0,0,0,0,1
516,persona,1433542.0,JEWELRY,1,0,0,0,0,2,3,1,1,1,7,1,0,0,1,1
517,piaget,708593.0,JEWELRY,0,1,0,0,0,0,3,1,3,0,6,0,0,0,2,0
518,picchiotti,529995.0,JEWELRY,0,0,0,0,0,0,4,1,3,1,10,1,0,0,3,1
519,platini,9401.0,JEWELRY,0,0,0,0,0,2,3,1,2,1,7,0,0,0,2,0
520,platinum,32497.0,JEWELRY,0,0,1,0,0,3,3,1,2,0,8,0,0,0,1,1
521,pomellato,,JEWELRY,0,0,0,0,0,3,4,1,2,1,9,0,0,0,1,2
522,preciosa,2.0,JEWELRY,1,0,0,0,0,1,4,1,1,1,8,1,0,0,2,1
523,pyrrha,3917.0,JEWELRY,1,0,0,0,0,3,1,1,1,1,6,0,0,0,0,0
524,qalo,90327.0,JEWELRY,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,1
525,quid,,JEWELRY,0,1,0,0,0,0,2,0,1,0,4,0,0,0,1,1
526,rahaminov,162773.0,JEWELRY,0,0,0,1,0,3,4,0,0,0,9,1,0,1,1,1
527,rajola,28203.0,JEWELRY,1,0,0,0,0,2,3,0,0,1,6,1,0,1,0,1
528,rdi,21341.0,JEWELRY,0,0,0,0,0,1,1,0,1,1,3,0,0,1,1,0
529,rebecca,7700.0,JEWELRY,1,0,0,0,0,1,3,0,1,1,7,0,0,1,2,0
530,relica,1704.0,JEWELRY,1,0,0,0,0,2,3,0,0,1,6,0,0,1,2,0
531,repossi,2350733.0,JEWELRY,0,0,0,0,0,1,3,0,1,1,7,2,0,1,2,1
532,ritani,7694565.0,JEWELRY,0,0,0,0,0,2,3,0,1,1,6,0,0,1,2,0
533,rmc,5360.0,JEWELRY,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0
534,romance,809.0,JEWELRY,0,0,0,0,0,3,3,0,0,1,7,0,0,1,1,1
535,rommanel,14736.0,JEWELRY,0,0,1,0,0,5,3,0,0,0,8,0,0,1,1,1
536,rosemarie,1154.0,JEWELRY,0,0,0,0,0,3,5,0,0,1,9,1,0,1,2,1
537,roxy,287.0,JEWELRY,0,0,0,0,0,2,1,0,0,1,4,0,0,1,1,1
538,schaffrath,18802.0,JEWELRY,0,0,0,1,1,1,2,0,1,0,10,5,0,0,0,0
539,sequel,128.0,JEWELRY,0,0,1,0,1,1,3,0,0,0,6,1,0,0,2,1
540,serinium,,JEWELRY,0,0,1,0,1,3,4,0,0,0,8,1,0,0,3,1
541,shinola,3446.0,JEWELRY,1,0,0,0,1,2,3,0,0,1,7,1,0,0,1,1
542,sibilia,6390.0,JEWELRY,1,0,0,0,1,1,4,0,1,1,7,1,0,0,3,0
543,signity,2250.0,JEWELRY,0,0,0,0,1,2,2,0,2,1,7,1,0,0,3,0
544,sindbad,9401.0,JEWELRY,0,1,0,0,1,1,2,0,3,0,7,1,0,0,1,0
545,skagen,5285.0,JEWELRY,0,0,1,0,1,1,2,0,2,0,6,1,0,0,1,0
546,skydin,72.0,JEWELRY,0,0,1,0,1,2,1,0,2,0,6,1,0,0,1,0
547,snbt,206.0,JEWELRY,0,1,0,0,1,1,0,0,2,0,4,1,0,0,0,0
548,soko,167692.0,JEWELRY,0,0,0,0,1,0,2,0,1,1,4,1,0,0,0,2
549,soleil,9401.0,JEWELRY,0,0,1,0,1,2,3,0,0,0,6,1,0,0,1,1
550,sollbergers,155.0,JEWELRY,0,0,0,1,1,4,3,0,2,0,11,2,0,0,2,1
551,solo,13356.0,JEWELRY,0,0,0,0,1,1,2,0,0,1,4,1,0,0,0,2
552,somers,80000.0,JEWELRY,0,0,0,1,1,2,2,0,0,0,6,2,0,0,1,1
553,somor,9401.0,JEWELRY,0,0,1,0,1,2,2,0,0,0,5,1,0,0,0,2
554,sorrelli,2244.0,JEWELRY,0,0,0,0,1,4,3,0,0,1,8,1,0,0,2,1
555,spark,790490.0,JEWELRY,0,1,0,0,1,1,1,0,2,0,5,1,0,0,0,0
556,spb,94010.0,JEWELRY,0,1,0,0,1,0,0,0,2,0,3,1,0,0,0,0
557,speechlust,695.0,JEWELRY,0,1,0,0,1,1,3,0,2,0,10,3,0,0,1,1
558,stauer,387214.0,JEWELRY,0,0,1,0,1,1,3,0,1,0,6,1,0,0,1,1
559,storm,,JEWELRY,0,0,1,0,1,2,1,0,1,0,5,1,0,0,0,1
560,stuller,726027.0,JEWELRY,0,0,1,0,1,3,2,0,1,0,7,1,0,0,1,1
561,swarovski,3165925.0,JEWELRY,0,0,0,0,1,2,3,0,1,1,9,3,0,0,1,1
562,swatch,162395.0,JEWELRY,0,0,0,1,1,1,1,0,1,0,6,2,0,0,0,0
563,sylvie,671858.0,JEWELRY,0,0,0,0,1,2,2,0,0,1,6,2,0,0,1,0
564,szor,746.0,JEWELRY,0,0,1,0,1,1,1,0,0,0,4,2,0,0,0,1
565,tacori,15610182.0,JEWELRY,0,0,0,0,0,1,3,1,1,1,6,0,0,0,1,1
566,taj,10579.0,JEWELRY,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,0
567,takat,229343.0,JEWELRY,0,1,0,0,0,0,2,1,3,0,5,0,0,0,0,0
568,takohl,161870.0,JEWELRY,0,0,1,0,0,1,2,1,2,0,6,0,0,0,0,1
569,tateossian,42000.0,JEWELRY,0,0,1,0,0,1,5,1,2,0,10,2,0,0,2,1
570,technaoro,11940.0,JEWELRY,0,0,0,0,0,2,4,1,1,1,9,1,0,0,1,2
571,teno,23182.0,JEWELRY,0,0,0,0,0,1,2,1,1,1,4,0,0,0,1,1
572,tenoara,,JEWELRY,1,0,0,0,0,2,4,1,1,1,7,0,0,0,1,1
573,thorsten,72867.0,JEWELRY,0,0,1,0,1,2,2,1,2,0,8,2,0,0,1,1
574,tiffany,21668461.0,JEWELRY,0,0,0,0,0,2,2,1,1,1,7,2,0,0,2,0
575,titanium,140663.0,JEWELRY,0,0,1,0,0,2,4,1,2,0,8,0,0,0,2,1
576,tous,1529108.0,JEWELRY,0,0,0,1,0,0,2,1,1,0,4,1,0,0,0,1
577,tribes,,JEWELRY,0,0,0,1,0,1,2,1,2,0,6,1,0,0,2,0
578,triton,47195.0,JEWELRY,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
579,tritonraw,2539.0,JEWELRY,0,0,0,0,0,4,3,1,2,0,9,0,0,0,1,1
580,trollbeads,28752.0,JEWELRY,0,0,0,1,0,3,3,1,3,0,10,1,0,0,1,1
581,twogether,5087.0,JEWELRY,0,0,1,0,0,2,3,1,3,0,9,1,0,0,2,1
582,unavelo,28203.0,JEWELRY,0,0,0,0,0,2,4,0,0,1,7,1,1,0,1,2
583,uneek,5705.0,JEWELRY,0,1,0,0,0,1,3,0,1,0,5,0,1,0,1,1
584,uni,6900.0,JEWELRY,0,0,0,0,0,1,2,0,0,1,3,0,1,0,1,1
585,valentino,320544.0,JEWELRY,0,0,0,0,1,3,4,0,1,1,9,1,0,0,2,1
586,valina,1069.0,JEWELRY,1,0,0,0,1,2,3,0,0,1,6,1,0,0,1,0
587,vantani,,JEWELRY,0,0,0,0,1,2,3,0,1,1,7,1,0,0,1,0
588,vendorafa,120405.0,JEWELRY,1,0,0,0,1,2,4,0,1,1,9,2,0,0,1,1
589,verdura,1172243.0,JEWELRY,1,0,0,0,1,2,3,0,1,1,7,1,0,0,1,1
590,verragio,323340.0,JEWELRY,0,0,0,0,1,2,4,0,1,1,8,1,0,0,2,1
591,versace,2727.0,JEWELRY,0,0,0,0,1,1,3,0,0,1,7,2,0,0,2,0
592,vhernier,1870751.0,JEWELRY,0,0,1,0,1,3,3,0,0,0,8,1,0,0,2,0
593,vicenza,18239.0,JEWELRY,1,0,0,0,1,1,3,0,0,1,7,2,0,0,2,0
594,victoria,4800.0,JEWELRY,1,0,0,0,1,1,4,0,1,1,8,1,0,0,2,1
595,vivaan,,JEWELRY,0,0,1,0,1,1,3,0,0,0,6,2,0,0,1,0
596,wanderer,8686.0,JEWELRY,0,0,1,0,0,4,3,0,1,0,8,0,0,1,2,0
597,wellendorff,4191.0,JEWELRY,0,0,0,1,0,5,3,0,1,0,11,2,0,1,2,1
598,wlc,9401.0,JEWELRY,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0
599,wolf,4608.0,JEWELRY,0,0,0,1,0,2,1,0,0,0,4,1,0,1,0,1
600,ych,8462.0,JEWELRY,0,0,0,1,0,1,0,0,0,0,3,1,0,1,0,0
601,yvel,596520.0,JEWELRY,0,0,1,0,0,2,1,0,0,0,4,1,0,1,1,0
602,zanggarts,,JEWELRY,0,0,0,1,1,2,2,0,3,0,9,2,0,0,0,0
603,zeeba,5000.0,JEWELRY,1,0,0,0,1,0,3,0,1,1,5,1,0,0,1,0
604,zeghani,3080.0,JEWELRY,0,0,0,0,1,1,3,0,1,1,7,1,0,0,2,0
605,zen,102740.0,JEWELRY,0,0,1,0,1,1,1,0,0,0,3,1,0,0,1,0
606,zenger,27267.0,JEWELRY,0,0,1,0,1,2,2,0,1,0,6,1,0,0,2,0
607,zenove,11001.0,JEWELRY,0,0,0,0,1,1,3,0,0,1,6,2,0,0,2,1
608,ziggit,907.0,JEWELRY,0,1,0,0,1,0,2,0,3,0,6,1,0,0,2,0
609,zorrata,11584.0,JEWELRY,1,0,0,0,1,2,3,0,1,1,7,1,0,0,0,1
610,zydo,3082.0,JEWELRY,0,0,0,0,1,1,1,0,1,1,4,1,0,0,0,1
611,axe,480765.0,MEN_HAIRCARE,0,0,0,0,0,0,2,0,0,1,3,0,1,0,1,0
612,clash,9001.0,MEN_HAIRCARE,0,0,0,1,0,1,1,0,0,0,5,1,0,0,0,0
613,cremo,34817.0,MEN_HAIRCARE,0,0,0,0,0,2,2,0,0,1,5,0,0,0,1,1
614,fish,11767.0,MEN_HAIRCARE,0,0,0,1,1,0,1,0,0,0,4,2,0,0,1,0
615,fisticuffs,179.0,MEN_HAIRCARE,0,0,0,1,1,0,3,0,1,0,10,5,0,0,2,1
616,hilee,205.0,MEN_HAIRCARE,0,0,0,0,0,1,3,0,0,1,5,0,0,0,2,0
617,jax,6672.0,MEN_HAIRCARE,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0
618,kiehls,7397.0,MEN_HAIRCARE,0,0,0,1,0,1,2,1,1,0,6,1,0,0,1,0
619,murrays,6512.0,MEN_HAIRCARE,0,0,0,1,0,4,2,0,0,0,7,1,0,1,0,1
620,rogaine,9489.0,MEN_HAIRCARE,0,0,0,0,0,2,4,0,1,1,7,0,0,1,2,1
621,contenders,270.0,MEN_UNDERWEAR,0,0,0,1,0,3,3,0,2,0,10,1,0,0,2,1
622,dailyjocks,3222.0,MEN_UNDERWEAR,0,0,0,1,0,2,3,1,2,0,10,2,0,0,1,1
623,diesel,36170.0,MEN_UNDERWEAR,0,0,1,0,0,1,3,1,1,0,6,1,0,0,2,0
624,eroix,,MEN_UNDERWEAR,0,0,0,0,0,1,3,0,0,0,5,0,1,0,2,1
625,frigo,5314515.0,MEN_UNDERWEAR,0,0,0,0,1,1,2,0,1,1,5,1,0,0,1,1
626,guess,475640.0,MEN_UNDERWEAR,0,0,0,1,0,0,2,1,1,0,5,2,0,0,1,1
627,hanes,884669.0,MEN_UNDERWEAR,0,0,0,1,0,1,2,0,0,0,5,1,0,0,1,0
628,jockey,5925223.0,MEN_UNDERWEAR,0,0,0,0,1,1,2,0,1,1,6,1,0,0,2,1
629,mypakage,2894.0,MEN_UNDERWEAR,0,0,0,0,0,2,3,0,3,1,8,0,0,1,1,0
630,pump,73.0,MEN_UNDERWEAR,0,1,0,0,0,1,1,1,2,0,4,0,0,0,0,1
631,saxx,60151.0,MEN_UNDERWEAR,0,0,0,0,1,0,1,0,0,0,4,1,0,0,0,0
632,sheath,6254.0,MEN_UNDERWEAR,0,0,0,1,1,0,2,0,1,0,6,2,0,0,1,0
633,spanx,123.0,MEN_UNDERWEAR,0,0,0,0,1,1,1,0,1,0,5,1,0,0,0,0
634,stance,4614.0,MEN_UNDERWEAR,0,0,0,0,1,1,2,0,1,1,6,1,0,0,1,0
635,tani,8712.0,MEN_UNDERWEAR,0,0,0,0,0,1,2,1,1,1,4,0,0,0,1,0
636,ufm,481.0,MEN_UNDERWEAR,0,0,1,0,0,1,1,0,0,0,3,1,1,0,0,1
637,wolsey,,MEN_UNDERWEAR,0,0,0,0,0,3,2,0,0,1,6,1,0,1,2,1
638,aeroprecision,23507.0,MILITARY,0,0,1,0,0,3,7,0,1,0,13,1,1,0,4,2
639,airbus,45911.0,MILITARY,0,0,0,1,0,1,3,0,1,0,6,1,1,0,1,1
640,austal,9660.0,MILITARY,0,0,1,0,0,1,3,0,1,0,6,1,1,0,0,1
641,barracuda,1481.0,MILITARY,1,0,0,0,0,2,4,1,2,1,9,0,0,0,0,1
642,barrett,1653.0,MILITARY,0,1,0,0,0,2,2,1,3,0,7,0,0,0,1,0
643,battelle,1351.0,MILITARY,0,0,0,0,0,2,3,1,3,1,8,0,0,0,2,0
644,boecore,1098.0,MILITARY,0,0,0,0,0,1,4,1,1,1,7,0,0,0,2,2
645,boeing,231074.0,MILITARY,0,1,1,0,0,1,3,1,2,0,6,0,0,0,1,1
646,cobham,1227.0,MILITARY,0,0,1,0,0,1,2,0,1,0,6,0,0,0,0,1
647,dsei,,MILITARY,0,0,0,0,0,0,2,1,1,1,4,1,0,0,1,0
648,embraer,8931.0,MILITARY,0,0,1,0,0,3,3,0,1,0,7,0,1,0,2,0
649,esw,5200.0,MILITARY,0,0,0,0,0,1,1,0,0,0,3,1,1,0,1,0
650,honeywell,9883.0,MILITARY,0,0,1,0,0,5,3,0,0,0,9,0,0,0,2,1
651,iai,29898.0,MILITARY,0,0,0,0,0,0,3,0,0,1,3,0,1,0,2,0
652,mbda,,MILITARY,1,0,0,0,0,1,1,0,2,1,4,0,0,1,0,0
653,mtu,237400.0,MILITARY,0,0,0,0,0,1,1,0,1,1,3,0,0,1,0,1
654,oshkosh,330.0,MILITARY,0,0,0,1,0,0,2,0,1,0,7,2,1,0,0,2
655,rafael,,MILITARY,0,0,1,0,0,2,3,0,0,0,6,1,0,1,1,0
656,raytheon,139831.0,MILITARY,0,0,1,0,0,3,3,0,1,0,8,1,0,1,1,1
657,revision,,MILITARY,0,0,1,0,0,2,4,0,0,0,8,2,0,1,3,1
658,skedco,3241.0,MILITARY,0,0,0,0,1,0,2,0,2,1,6,1,0,0,1,1
659,snc,,MILITARY,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0
660,src,,MILITARY,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0
661,textron,137134.0,MILITARY,0,0,1,0,0,2,2,1,2,0,7,0,0,0,1,1
662,aaladin,1870.0,POWER_TOOLS,0,0,1,0,0,2,4,0,1,0,7,0,1,0,1,0
663,accuquilt,1376.0,POWER_TOOLS,0,1,0,0,0,1,4,0,1,0,9,0,1,0,1,2
664,acdelco,21203.0,POWER_TOOLS,0,0,0,0,0,1,3,0,1,1,7,0,1,0,1,1
665,acradyne,4649.0,POWER_TOOLS,0,0,0,0,0,3,3,0,1,1,8,0,1,0,1,0
666,aircat,156895.0,POWER_TOOLS,0,1,0,0,0,1,3,0,1,0,6,0,1,0,1,0
667,airvantage,80172.0,POWER_TOOLS,0,0,0,0,0,2,5,0,2,1,10,1,1,0,2,0
668,alemite,25444.0,POWER_TOOLS,0,0,0,0,0,2,4,0,1,1,7,0,1,0,3,0
669,armorthane,13781.0,POWER_TOOLS,0,0,0,0,0,4,4,0,1,1,10,1,1,0,1,1
670,armstrong,13502.0,POWER_TOOLS,0,1,1,0,0,4,2,0,2,0,9,1,1,0,0,1
671,arrow,387.0,POWER_TOOLS,0,0,0,0,0,3,2,0,0,0,5,0,1,0,0,1
672,aven,7668.0,POWER_TOOLS,0,0,1,0,0,1,2,0,0,0,4,1,1,0,1,0
673,bartell,9615.0,POWER_TOOLS,0,0,1,0,0,3,2,1,2,0,7,0,0,0,1,0
674,bernzomatic,5651.0,POWER_TOOLS,0,0,0,0,0,3,4,1,2,0,11,1,0,0,2,1
675,bessey,,POWER_TOOLS,0,0,0,0,0,1,2,1,1,1,6,2,0,0,3,0
676,bikemaster,,POWER_TOOLS,0,0,1,0,0,2,4,1,3,0,10,1,0,0,3,0
677,biteharder,1014.0,POWER_TOOLS,0,0,1,0,0,2,4,1,3,0,10,0,0,0,3,0
678,bosch,171289.0,POWER_TOOLS,0,0,0,1,0,0,1,1,1,0,5,2,0,0,0,1
679,bostitch,371.0,POWER_TOOLS,0,0,0,1,0,0,2,1,3,0,8,2,0,0,1,1
680,bowclamp,44100.0,POWER_TOOLS,0,1,0,0,0,3,2,1,2,0,8,0,0,0,0,1
681,bowtie,646.0,POWER_TOOLS,0,0,0,0,0,1,3,1,2,1,6,0,0,0,1,1
682,bristol,1029.0,POWER_TOOLS,0,0,1,0,0,2,2,1,2,0,7,1,0,0,1,1
683,central,22265.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,7,0,0,0,1,0
684,channellock,5610899.0,POWER_TOOLS,0,1,0,0,1,4,3,0,1,0,11,1,0,0,1,1
685,cleco,3163.0,POWER_TOOLS,0,0,0,0,0,1,2,0,0,1,5,0,0,0,1,1
686,cmt,44100.0,POWER_TOOLS,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0
687,craftsman,2650625.0,POWER_TOOLS,0,0,1,0,0,3,2,0,1,0,9,2,0,0,0,0
688,crescent,227760.0,POWER_TOOLS,0,1,0,0,0,2,2,0,1,0,8,1,0,0,2,0
689,daetwyler,6400.0,POWER_TOOLS,0,0,1,0,0,4,3,1,2,0,9,0,0,0,2,0
690,deckwise,12476.0,POWER_TOOLS,0,0,0,0,0,1,3,1,2,1,8,1,0,0,3,0
691,delta,176512.0,POWER_TOOLS,1,0,0,0,0,1,2,1,2,1,5,0,0,0,1,0
692,dentfix,175655.0,POWER_TOOLS,0,0,0,0,0,1,2,1,2,0,7,1,0,0,2,0
693,detro,8351.0,POWER_TOOLS,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,1
694,dewalt,542821.0,POWER_TOOLS,0,1,0,0,0,2,2,1,2,0,6,0,0,0,1,0
695,diablo,51916.0,POWER_TOOLS,0,0,0,0,0,1,3,1,2,1,6,0,0,0,1,1
696,dowelmax,168225.0,POWER_TOOLS,0,0,0,0,0,3,3,1,1,0,8,0,0,0,1,1
697,dr,66143.0,POWER_TOOLS,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0
698,dremel,39943.0,POWER_TOOLS,0,0,1,0,0,3,2,1,1,0,6,0,0,0,2,0
699,duragrit,,POWER_TOOLS,0,1,0,0,0,2,3,1,3,0,8,0,0,0,1,1
700,dynablast,5020.0,POWER_TOOLS,0,1,0,0,0,3,2,1,3,0,9,1,0,0,0,0
701,dynabrade,2924.0,POWER_TOOLS,0,0,0,0,0,3,3,1,3,1,9,0,0,0,1,0
702,eastwood,433215.0,POWER_TOOLS,0,1,0,0,0,1,4,0,2,0,8,1,1,0,1,1
703,echo,11760.0,POWER_TOOLS,0,0,0,0,0,0,2,0,0,1,4,1,1,0,1,1
704,edco,63902.0,POWER_TOOLS,0,0,0,0,0,0,2,0,1,1,4,0,1,0,1,1
705,equalizer,16301.0,POWER_TOOLS,0,0,1,0,0,2,5,0,0,0,9,1,1,0,3,1
706,ernst,95418.0,POWER_TOOLS,0,1,0,0,0,2,1,0,1,0,5,1,1,0,1,0
707,estwing,2572.0,POWER_TOOLS,0,1,1,0,0,2,2,0,2,0,7,1,1,0,2,0
708,eversharp,142.0,POWER_TOOLS,0,1,0,0,0,2,3,0,1,0,9,2,1,0,2,0
709,exair,25063.0,POWER_TOOLS,0,0,1,0,0,1,3,0,0,0,5,0,1,0,2,0
710,ezwoodshop,,POWER_TOOLS,0,1,0,0,0,1,4,0,2,0,10,2,1,0,1,2
711,festool,963656.0,POWER_TOOLS,0,0,1,0,1,1,3,0,1,0,7,2,0,0,1,1
712,fieldpiece,1248.0,POWER_TOOLS,0,0,0,0,1,1,5,0,2,1,10,1,0,0,3,0
713,fiskars,171.0,POWER_TOOLS,0,0,0,1,1,1,2,0,1,0,7,3,0,0,1,0
714,flexisander,,POWER_TOOLS,0,0,1,0,1,3,4,0,1,0,11,2,0,0,3,0
715,forrest,199122.0,POWER_TOOLS,0,1,0,0,1,2,2,0,1,0,7,2,0,0,1,1
716,freud,670889.0,POWER_TOOLS,0,1,0,0,1,1,2,0,1,0,5,1,0,0,1,1
717,gearwrench,206048.0,POWER_TOOLS,0,0,0,1,0,4,3,1,1,0,10,1,0,0,2,0
718,gema,20139.0,POWER_TOOLS,1,0,0,0,0,1,2,1,1,1,4,0,0,0,1,0
719,generac,28722.0,POWER_TOOLS,0,0,0,0,0,2,3,1,1,0,7,0,0,0,2,0
720,general,75531.0,POWER_TOOLS,0,0,1,0,0,3,3,1,1,0,7,0,0,0,2,0
721,gomaco,127476.0,POWER_TOOLS,0,0,0,0,0,1,3,1,1,1,6,0,0,0,0,2
722,goodson,,POWER_TOOLS,0,0,1,0,0,1,3,1,2,0,7,1,0,0,0,2
723,goodway,5817.0,POWER_TOOLS,0,0,0,0,0,2,3,1,2,1,7,0,0,0,1,1
724,grabit,163.0,POWER_TOOLS,0,1,0,0,0,1,2,1,3,0,6,0,0,0,1,0
725,grainger,475249.0,POWER_TOOLS,0,0,1,0,0,3,3,1,2,0,8,0,0,0,2,0
726,greenworks,304.0,POWER_TOOLS,0,0,0,1,0,4,3,1,2,0,10,1,0,0,1,1
727,grex,44100.0,POWER_TOOLS,0,0,0,0,0,1,1,1,1,0,4,0,0,0,1,0
728,handibot,,POWER_TOOLS,0,1,0,0,0,1,3,0,3,0,8,0,0,0,1,1
729,hastings,69253.0,POWER_TOOLS,0,0,0,1,0,1,2,0,2,0,8,2,0,0,1,0
730,heck,596.0,POWER_TOOLS,0,1,0,0,0,0,1,0,1,0,4,0,0,0,1,0
731,hillman,12355.0,POWER_TOOLS,0,0,1,0,0,4,2,0,0,0,7,0,0,0,1,0
732,hilmor,1058.0,POWER_TOOLS,0,0,1,0,0,3,2,0,0,0,6,0,0,0,1,1
733,hilti,10190.0,POWER_TOOLS,0,0,0,0,0,1,2,0,1,1,5,0,0,0,2,0
734,hitachi,26575.0,POWER_TOOLS,0,0,0,0,0,0,3,0,1,1,7,1,0,0,2,0
735,hollymatic,6688.0,POWER_TOOLS,0,0,0,0,0,4,3,0,1,0,10,0,0,0,1,1
736,homak,568383.0,POWER_TOOLS,0,1,0,0,0,1,2,0,1,0,5,0,0,0,0,1
737,husky,6647.0,POWER_TOOLS,0,0,0,0,0,1,1,0,1,1,5,1,0,0,1,1
738,husqvarna,193955.0,POWER_TOOLS,1,0,0,0,0,2,3,0,0,1,9,2,0,0,0,1
739,hutchins,5011.0,POWER_TOOLS,0,0,0,1,0,1,2,0,1,0,8,2,0,0,1,1
740,hyde,50836.0,POWER_TOOLS,0,0,0,0,0,1,1,0,1,1,4,0,0,0,1,0
741,hytorc,64050.0,POWER_TOOLS,0,0,0,0,0,2,1,0,1,0,6,0,0,0,0,1
742,ics,82025.0,POWER_TOOLS,0,0,0,1,0,0,1,0,0,0,3,1,1,0,1,0
743,igus,3223.0,POWER_TOOLS,0,0,0,1,0,0,2,0,1,0,4,1,1,0,1,1
744,ipa,106603.0,POWER_TOOLS,1,0,0,0,0,0,2,0,1,1,3,0,1,0,1,0
745,irwin,213798.0,POWER_TOOLS,0,0,1,0,0,3,2,0,0,0,5,0,1,0,2,0
746,jawhorse,,POWER_TOOLS,0,0,0,0,1,2,3,0,0,1,8,2,0,0,1,1
747,jet,8938.0,POWER_TOOLS,0,1,0,0,1,0,1,0,1,0,3,1,0,0,1,0
748,jonsered,1437.0,POWER_TOOLS,0,1,0,0,1,2,3,0,1,0,8,2,0,0,2,1
749,karcher,68736.0,POWER_TOOLS,0,0,1,0,0,2,2,1,1,0,7,1,0,0,1,0
750,kershaw,2328.0,POWER_TOOLS,0,0,0,0,0,2,2,1,1,0,7,1,0,0,1,0
751,kett,31273.0,POWER_TOOLS,0,1,0,0,0,0,1,1,3,0,4,0,0,0,1,0
752,keysco,8351.0,POWER_TOOLS,0,0,0,0,0,1,2,1,1,1,6,1,0,0,1,1
753,klein,7422.0,POWER_TOOLS,0,0,1,0,0,2,2,1,1,0,5,0,0,0,1,0
754,knipex,233237.0,POWER_TOOLS,0,0,0,0,0,1,2,1,2,0,6,0,0,0,2,0
755,kraft,7798.0,POWER_TOOLS,0,1,0,0,0,1,1,1,2,0,5,1,0,0,0,0
756,kreg,10105748.0,POWER_TOOLS,0,1,0,0,0,1,1,1,2,0,4,0,0,0,1,0
757,kwikstand,2339.0,POWER_TOOLS,0,1,0,0,0,2,2,1,4,0,9,1,0,0,1,0
758,lackmond,51194.0,POWER_TOOLS,0,1,0,0,0,3,2,0,2,0,8,0,0,1,0,1
759,landa,95.0,POWER_TOOLS,1,0,0,0,0,2,2,0,1,1,5,0,0,1,0,0
760,leatherman,1555173.0,POWER_TOOLS,0,0,1,0,0,4,4,0,1,0,10,1,0,1,2,0
761,lenox,400801.0,POWER_TOOLS,0,0,0,0,0,2,2,0,0,0,5,0,0,1,1,1
762,lincoln,25444.0,POWER_TOOLS,0,0,1,0,0,4,2,0,0,0,7,0,0,1,1,1
763,lisle,146308.0,POWER_TOOLS,0,0,0,0,0,2,2,0,0,1,5,1,0,1,2,0
764,logox,897.0,POWER_TOOLS,0,0,0,0,0,1,2,0,1,0,5,0,0,1,0,2
