,BRAND,DOLS,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
109,arbonne,2030.0,COSMETICS,0,0,0,0,0,3,3,0,1,1,7,0,1,0,1,1
110,aritaum,546.0,COSMETICS,0,0,1,0,0,2,4,0,1,0,7,0,1,0,1,1
111,arrow,,COSMETICS,0,0,0,0,0,3,2,0,0,0,5,0,1,0,0,1
112,artistry,456.0,COSMETICS,0,0,0,0,0,3,2,0,2,1,8,1,1,0,2,0
113,aveda,62301.0,COSMETICS,1,0,0,0,0,0,3,0,1,1,5,1,1,0,1,0
114,aveeno,21993.0,COSMETICS,0,0,0,0,0,1,4,0,0,1,6,1,1,0,1,1
115,avon,4659620.0,COSMETICS,0,0,1,0,0,1,2,0,0,0,4,1,1,0,0,1
116,bareminerals,762758.0,COSMETICS,0,0,0,1,0,5,5,1,1,0,12,1,0,0,3,0
117,beaucream,832.0,COSMETICS,0,0,1,0,0,2,5,1,1,0,9,0,0,0,2,1
118,beautyducts,2.0,COSMETICS,0,0,0,1,0,1,4,1,4,0,11,1,0,0,1,2
119,benefit,40578.0,COSMETICS,0,1,0,0,0,1,3,1,2,0,7,1,0,0,3,0
120,bezmyne,3954.0,COSMETICS,0,0,0,0,0,3,2,1,1,1,7,1,0,0,2,0
121,biancey,3157.0,COSMETICS,0,0,0,0,0,2,3,1,1,1,7,0,0,0,3,0
122,biotherm,,COSMETICS,0,0,1,0,0,2,3,1,2,0,8,1,0,0,2,1
123,bodyography,124601.0,COSMETICS,0,0,0,0,0,3,3,1,4,1,11,0,0,0,1,2
124,botanics,20363.0,COSMETICS,0,0,0,1,0,1,3,1,2,0,8,1,0,0,1,1
125,brivmay,141.0,COSMETICS,0,0,0,0,0,3,2,1,1,1,7,1,0,0,2,0
126,burberry,59000.0,COSMETICS,0,0,0,0,0,4,2,1,2,1,8,0,0,0,2,1
127,buxom,687.0,COSMETICS,0,0,1,0,0,1,2,1,1,0,5,0,0,0,0,2
128,cargo,40912.0,COSMETICS,0,0,0,0,0,1,2,0,1,1,5,0,0,0,0,1
